#Word,polarity
khukuri,0.125
perked_up,0.875
savior,-0.125
ungainly,-0.25
albinotic,-0.5
kip,-0.03125
unsated,-0.5
duck_soup,0.125
hirudo,-0.125
malignant,0.25
contumaciously,0.125
hypothermia,-0.25
sweetheart,0.15625
hermitic,0.125
podlike,-0.25
oppressiveness,-0.25
nonviolent,-0.1875
pipe_down,-0.125
swayback,-0.5
asynchronous,-0.3125
bungarus,-0.125
mellowly,0.25
suppuration,-0.125
gift_wrapping,0.125
misfortunate,-0.75
ganesa,0.125
embedded,0.0625
matt,-0.25
buckthorn_berry,-0.125
motiveless,-0.625
nebo,0.125
premature_baby,-0.125
hurt,-0.4642857142857143
spoken,-0.25
organically,0.041666666666666664
bombproof,0.041666666666666664
fourth_crusade,-0.375
bracing,0.1875
precocial,0.25
arteriosclerotic,-0.375
american_revised_version,0.125
jitteriness,-0.375
palmy,0.5
mule_skinner,-0.125
callous,-0.16666666666666666
unrestrained,-0.1875
profligate,-0.03125
civic_spirit,0.125
dissociative,-0.125
minaret,0.125
disposition,0.0625
surd,-0.25
unstylish,-0.3125
heatedly,0.125
noncomprehensive,-0.125
catkinate,0.125
obliteration,0.0625
falling,-0.041666666666666664
unfeasible,-0.75
cestoda,0.125
gorgeous,0.75
unelaborate,0.125
unresponsiveness,-0.5
digressive,0.0625
louvered,-0.5
straining,-0.3333333333333333
underhanded,-0.125
discriminating,0.4375
knockoff,-0.5
square-toed,0.3125
chronic_obstructive_pulmonary_disease,-0.625
devilish,-0.16666666666666666
cornel,0.125
predisposition,0.08333333333333333
mockingly,0.25
fugitive,0.041666666666666664
smack,0.020833333333333332
ravenous,-0.1875
lashings,-0.25
get_on,0.125
hard-boiled,-0.125
jingoist,0.25
breach_of_contract,0.125
solemn,0.1875
prochlorperazine,-0.375
round-eyed,0.4375
tachinidae,-0.125
phlegm,0.041666666666666664
all_important,0.625
agnail,-0.25
vestigial,-0.75
colourless,-0.1875
alacrity,0.375
complexity,0.25
superannuate,-0.0625
lysis,0.25
credit,0.0673076923076923
hedged,-0.125
good-natured,0.75
ponderous,0.041666666666666664
exhaustion,0.08333333333333333
obtrusively,0.25
excitedly,0.125
fulsomely,0.25
gruffly,0.5
wilkins_micawber,-0.125
rustbelt,-0.125
ipsedixitism,-0.125
temptation,0.20833333333333334
horse_trader,-0.375
malta_fever,-0.125
noxiously,-0.25
atomic_number_3,-0.125
accommodative,0.3333333333333333
elves,0.125
illimitable,-0.5
enduring,-0.125
precision,-0.125
tet,0.125
tsatske,-0.0625
liturgist,-0.125
encephalitis,-0.75
hawk_moth,0.125
bang_up,-0.375
bratty,-0.125
unstrained,0.3125
bless,-0.0625
folk_etymology,-0.25
technophile,0.125
hydrocharitaceae,0.125
unimpassioned,0.75
semiconducting,0.5
anxiety_reaction,0.125
in_store,0.125
daydream,-0.16666666666666666
stumbling_block,0.125
phantasm,-0.125
orange_pekoe,0.375
venus,0.041666666666666664
nonmandatory,-0.5
odium,-0.25
stealth_fighter,0.625
dispirited,-0.8125
pyelitis,-0.375
break_up,-0.02631578947368421
kabbalist,0.1875
jade,0.017857142857142856
clear_and_present_danger,-0.25
oxyopia,0.25
custodial,0.25
obloquy,-0.3125
egg-and-dart,0.125
authoritarianism,-0.5
no_matter,-0.375
worthful,0.625
earth's_crust,-0.125
million,-0.041666666666666664
almsgiving,-0.5
laxation,-0.0625
spironolactone,-0.25
western_saddle,0.125
acrobatic_stunt,-0.125
shuttlecock_fern,0.125
isobutylphenyl_propionic_acid,-0.25
happily,0.1875
reliableness,0.625
unpermissiveness,-0.375
heaps,-0.125
miserably,0.25
world-beater,0.125
callosectomy,-0.25
caption,0.0625
captivated,-0.25
of_sound_mind,0.125
clapperclaw,-0.3125
clock_dial,0.125
spot,-0.00625
stinker,-0.3333333333333333
soup,-0.09375
plebiscite,0.125
flop,-0.05555555555555555
efficaciousness,0.125
scowling,-0.625
undutiful,-0.125
munificently,0.375
covering_fire,-0.25
necrobiosis,-0.125
overstated,0.125
adulterous,-0.5625
atonalism,-0.25
reaction,0.03571428571428571
critique,0.16666666666666666
dyspepsia,-0.75
hathaway,-0.125
article_of_faith,-0.3125
odd-pinnate,0.25
feral_man,-0.125
indecently,-0.25
brainish,-0.625
mind-boggling,0.5
bewilderingly,0.125
delayed_allergy,0.125
futureless,-0.625
irish_bull,-0.375
downhill,-0.025
purification,0.125
purifying,0.2916666666666667
imperial,0.041666666666666664
sibilation,-0.0625
mechanistically,0.25
goof-proof,-0.25
mullet,0.125
cornpone,-0.5
solace,-0.1875
nympholepsy,-0.25
picaninny,-0.25
fogbound,-0.75
pursued,-0.25
brummell,0.125
unmined,-0.25
unfertilized,-0.75
absorbed,0.0625
bare-breasted,0.25
evocation,0.125
tomato_blight,0.375
suck,-0.0625
scrubland,-0.125
jarrell,0.375
guileful,0.5
sandaled,-0.125
sissiness,-0.125
pettish,-0.25
idolised,0.375
public_nudity,-0.25
macula,-0.16666666666666666
humin,-0.375
acephaly,-0.5
improperness,-0.5
endometritis,-0.375
pocket_flask,0.25
castle_in_the_air,-0.25
wee_small_voice,0.375
choriomeningitis,-0.125
materialization,0.041666666666666664
toboggan_cap,0.125
tactlessness,-0.125
crookedly,0.125
costoaxillary_vein,-0.125
stone-deaf,-0.625
commode,0.25
juglans,-0.125
follow-through,0.0625
cliched,-0.5
disgustingness,-0.0625
contradistinguish,0.375
dancing_lady_orchid,-0.125
ethos,0.125
rusty,0.0625
defiance,0.16666666666666666
unquenchable,-0.5
huntington's_chorea,0.125
grounds,-0.025
startled,-0.25
unmindful,-0.375
action_replay,0.25
washed-out,-0.0625
chatterer,-0.1875
maianthemum,-0.125
dissimulation,-0.125
pleasurably,0.125
gall,-0.265625
katharometer,-0.125
amendable,0.5
copious,0.0625
sitta,-0.125
order_pseudoscorpionida,-0.5
shivery,-0.4375
orb-weaving,-0.375
after_a_fashion,-0.125
natural_theology,0.25
welcoming,-0.125
hamelia,0.25
wangler,-0.25
hugger_mugger,0.125
crudely,0.1875
shirtsleeves,-0.375
already,0.125
power-assisted,-0.375
uncontested,-0.625
eight-day,-0.125
disability,-0.75
genus_ipomoea,-0.125
undefined,-0.125
loth,-0.25
capitalistic,0.125
saccharum_munja,-0.125
elbowing,-0.375
big_brother,0.1875
unclear,0.08333333333333333
rapaciously,0.125
amok,-0.041666666666666664
right-eyed,0.375
dysostosis_multiplex,-0.75
inodorous,-0.25
at_the_ready,0.125
untrusting,-0.625
treasurer's_check,-0.25
runtiness,0.5
strengthening,0.0625
unavenged,-0.5
woolly_mullein,-0.125
liquifiable,0.625
saturation,-0.125
facility,0.05
tiresomeness,-0.125
preciously,-0.25
synergetic,0.25
truehearted,0.5
undoubtedly,0.5
sight-sing,-0.25
plausibleness,0.375
empathic,0.375
turnoff,-0.1875
commercially,0.125
fibbing,0.125
ornament,-0.041666666666666664
syncretistic,0.0625
forlorn_hope,-0.375
injury,-0.275
wide-eyed,0.4375
possession,0.07142857142857142
dodging,0.125
impermissibility,-0.5
significance,0.08333333333333333
sordidness,-0.25
hypovitaminosis,-0.25
melursus_ursinus,-0.125
camlan,-0.375
conditioned_stimulus,0.125
unapologetic,-0.25
concuss,-0.0625
fibrous,-0.25
crabapple,-0.041666666666666664
untutored,0.125
dysomia,-0.375
disdainfulness,-0.5
impartially,0.25
out_of_true,-0.25
addiction,0.08333333333333333
noise,-0.017857142857142856
cross_infection,0.125
transversally,0.125
philhellenic,0.25
gimp,-0.125
wood_file,0.125
hardfisted,-0.25
wariness,0.5
lathery,-0.375
length_of_service,0.125
evanesce,-0.125
blow,-0.07327586206896551
rave-up,-0.125
godlessness,-0.1875
kindness,0.20833333333333334
cattiness,-0.875
incense_wood,0.125
electromotive,0.125
plaquenil,-0.125
fight_back,0.0625
bear_upon,0.125
tautly,0.125
infelicitous,-0.625
ignominious,-0.375
line-shooter,0.125
reverse,-0.017857142857142856
micro,-0.125
genus_oestrus,-0.125
ambulate,-0.625
mason's_level,0.125
pertinent,0.25
raptorial_bird,-0.125
leptospirosis,-0.25
blitheness,0.75
punch-up,-0.125
leprosy,-0.625
murmurous,-0.125
pig-headedly,-0.125
exhaustively,0.625
referable,-0.25
withered,0.1875
artistic_production,0.25
bare-ass,0.625
hard-line,0.125
restful,0.375
sporting_lady,-0.25
sciolism,0.375
osteophyte,-0.25
phylloclad,0.25
inexorability,-0.625
desirability,0.5
polarisation,0.1875
steaminess,-0.25
at_odds,0.5
chicane,-0.05
brown,-0.09375
glossy,0.125
crossness,-0.625
leatherjacket,-0.25
put_to_death,0.125
eye-popping,0.25
dreamfully,0.125
toothless,-0.125
alcalescent,-0.25
abstinence,0.0625
variola_major,0.125
missed,-0.5
suasible,-0.125
friendliness,-0.0625
enthrallment,0.375
tread,-0.0125
labyrinthodontia,0.125
normative,0.1875
similitude,-0.0625
sporophyll,0.25
amiably,0.25
stylishly,0.125
ineptly,0.1875
swelter,-0.1875
marvel,0.20833333333333334
nonlethal,-0.375
leptospira,-0.5
springless,-0.25
insensately,0.25
garbed,-0.125
crohn's_disease,-0.625
cushy,-0.125
dash,-0.020833333333333332
cretinous,-0.875
choiceness,0.875
galvanisation,0.08333333333333333
lightsome,0.375
heedlessly,-0.375
territorial,0.075
sympathize,0.125
fit,0.1796875
chrome,-0.041666666666666664
crystallized,0.0625
aetiologist,0.125
forficula_auricularia,-0.25
eligible,0.5
fill_the_bill,0.5
outrageousness,-0.3125
flippancy,-0.5
pyrogenic,-0.0625
astounding,0.125
bounderish,-0.125
isoagglutinogen,-0.125
gammy,-0.625
arthropathy,0.5
undulatory,0.25
period,0.017857142857142856
degraded,-0.1875
dermacentor,0.125
well-adjusted,0.125
lookout,0.09375
calm_down,-0.041666666666666664
killer_bee,0.0625
joyride,-0.25
lacking,-0.625
communicate,-0.017857142857142856
fulfill,0.20833333333333334
oxyphenbutazone,-0.125
quibble,-0.041666666666666664
arrant,0.625
whit_leather,-0.125
impression,-0.027777777777777776
restricted,-0.041666666666666664
epileptic,-0.0625
unapproachable,-0.1875
hock,-0.0625
unsatisfiable,-0.11200000000000004
stridence,0.125
hoodmould,0.125
eradication,0.25
balk,-0.025
isoniazid,-0.125
gradual,-0.16666666666666666
preciseness,0.1875
pappataci_fever,-0.25
trichrome,0.125
high_status,0.5
soigne,0.75
by_artificial_means,-0.625
virion,0.375
dazed,-0.3125
methodically,0.25
arthur_symons,0.125
waxlike,0.125
macho,0.0625
nitid,0.375
unintelligibility,0.0625
greenwood,0.25
obsessive-compulsive,0.0625
satanophobia,-0.375
noncrucial,-0.125
actionable,0.25
dogging,-0.25
cheval_glass,0.125
unvendible,-0.25
counteractively,0.25
ruddy,0.25
stated,0.5
inflame,-0.3
sunny,0.5
unpretentiousness,-0.125
soft_option,-0.25
formidable,0.75
load-bearing,0.625
find,0.041666666666666664
venose,0.375
predicament,-0.625
communistic,-0.125
officious,-0.75
penetrative,0.0625
wet,-0.013888888888888888
conniving,0.125
reparation,-0.25
baroness,0.375
underbred,-0.375
aplanatic,0.5
underwing,0.125
seminude,0.125
mirthfully,0.25
sexed,0.1875
present_times,0.375
lactose_intolerance,-0.625
waterproofing,0.1875
systematically,0.25
smelly,-0.75
burnability,0.5
lymphuria,-0.25
petiolule,0.125
loggerhead,-0.1875
apotheosis,0.375
ungeared,-0.625
overprotection,-0.5
subject,-0.041666666666666664
lecherous,-0.75
banana_peel,-0.25
willing_and_able,-0.25
jersey,0.025
exquisite,0.3125
ulterior,-0.041666666666666664
albinic,-0.5
acute-angled_triangle,0.25
lowly,-0.625
anthrax,-0.3125
reanimated,0.375
co-star,0.16666666666666666
formalised,-0.25
wantonly,0.1875
topping,0.5
peliosis,-0.5
nonresinous,-0.5
insatiate,-0.5
mental_hospital,-0.125
etiquette,0.5
hands-off,-0.625
wondering,0.5
sanguine,0.375
noticeably,0.125
smidge,0.125
piassava_palm,-0.125
inhuman,-0.3125
knock_against,-0.125
obstreperous,-0.3125
novillada,0.25
crystal_clear,0.25
sugarless,-0.375
bladderlike,0.125
puff_up,-0.03125
favourably,0.5
dimness,-0.08333333333333333
sinusoidally,0.25
artificially,-0.625
episcleritis,-0.5
faraway,0.125
foolhardy,-0.625
immoderate,-0.25
chaffer,0.125
exonerative,0.25
blameable,-0.875
wise_guy,-0.25
aesthetic,0.4375
transfer_rna,-0.375
summum_bonum,0.625
animate_being,-0.375
nimble,0.1875
victimized,0.375
exchange,-0.04411764705882353
indomitable,-0.5
ruck,-0.20833333333333334
inculpable,0.25
famed,0.375
mission_impossible,-0.875
dissociable,0.5
instigator,-0.25
unladylike,0.375
chopped,0.125
sopranino,0.125
mind-blowing,0.5
atrocious,-0.7916666666666666
orientation,0.041666666666666664
shrove_tuesday,0.125
geyser,-0.0625
chalcid,-0.625
flammable,-0.5
unassertively,0.25
perpendicular_style,-0.25
biform,0.25
arhat,0.375
unsensational,-0.5
waste_one's_time,-0.25
rhymeless,-0.5
limen,0.125
balmy,0.3125
injun,-0.25
kind-hearted,0.625
smooch,0.25
cling,0.03125
hormone_replacement_therapy,0.125
presumption,-0.0625
conoid,0.125
sexual_desire,0.625
presymptomatic,-0.25
uselessly,0.25
glucophage,-0.25
external_storage,-0.375
strictly,0.16666666666666666
harmonic,0.017857142857142856
transposable,0.375
sustainable,0.625
palatableness,0.125
retrogressive,-0.25
megalomaniac,-0.125
medical_aid,-0.25
flood,-0.075
kindheartedness,0.5
uneventful,-0.125
unhinged,-0.5
wax_paper,-0.125
bodhisattva,0.375
estival,0.125
pinafore,-0.25
assiduousness,0.375
common_sorrel,-0.125
snorty,-0.625
antifeminism,0.125
obnoxious,-0.625
providence,0.09375
disfiguration,-0.125
tayassu,-0.25
impenitence,-0.375
spoiled,-0.6875
pressed,0.125
engraulis_encrasicholus,-0.25
synesthetic,-0.125
co-beneficiary,-0.125
grated_cheese,-0.25
angel,0.03125
comical,0.5
sense_of_right_and_wrong,0.125
wroth,-0.25
ungusseted,-0.5
goa_powder,-0.125
mournful,-0.75
pinch,-0.13541666666666666
decoupage,0.0625
gulp,-0.03125
pitch,0.011363636363636364
ruminative,0.25
eunuch,-0.25
vernal,0.1875
tinderbox,-0.0625
wildfowl,0.125
disoblige,-0.3125
dreg,-0.25
stifling,-0.0625
doctor_of_public_health,0.125
benign_tumor,-0.125
shirring,-0.125
natty,0.25
photographic,0.1875
fatherhood,0.03125
globose,0.125
radical,0.045454545454545456
flaccidity,0.375
laconic,0.125
clutter,-0.041666666666666664
fructify,0.25
new-mown,0.5
crispate,-0.125
saveloy,0.5
psocopterous_insect,-0.375
covalence,0.125
oceanic,-0.03125
altercate,0.25
lateness,0.125
get_well,0.75
likeable,0.125
casuistical,-0.0625
fulgurating,0.375
whole_milk,0.125
idyll,0.16666666666666666
drink_down,0.375
broken_heart,0.5
tolerance,0.2
spatulate,0.375
hand_to_hand,0.125
plenarily,0.25
sick_person,-0.25
genus_babesia,-0.125
goggles,-0.25
deflationary,0.125
entrust,0.1875
shaktism,-0.1875
numinous,0.0625
sheep_tick,0.125
lyrate_leaf,-0.125
devastation,-0.175
know_the_score,0.25
pearlweed,-0.125
eumenes,-0.125
duckbill,-0.041666666666666664
unasterisked,-0.625
disputative,0.375
cognac,0.5
anecdotic,0.25
concussion,-0.3125
baboo,0.125
fruitfulness,0.5625
menial,-0.1875
sweetish,0.125
hospitableness,0.625
half-slip,-0.125
high-sounding,0.125
seriocomic,0.5
glorification,0.125
genus_sitta,-0.125
sheep-tick,0.125
uncooperative,-0.375
arise,-0.017857142857142856
uninventive,-0.625
pluralist,-0.4166666666666667
gloatingly,0.25
thrombosed,-0.375
ascendable,0.625
mammut,-0.125
sourpuss,-0.5
baron,0.041666666666666664
separateness,0.041666666666666664
groundbreaking,0.3125
deprecative,-0.625
snot-nosed,-0.75
garcinia_cambogia,-0.25
conditionally,-0.5
upbound,0.25
absently,0.5
affirmative,0.5
foothill,-0.25
cut_short,0.09375
belonging,0.5
blood_spavin,-0.375
rofecoxib,-0.625
rhapis_excelsa,0.25
minor_suit,-0.25
conundrum,-0.625
cheer,0.10714285714285714
fitter,0.25
fish_species,0.125
worldly-wise,0.25
every_week,-0.375
readably,0.25
confidently,0.125
ireful,-0.375
relative,-0.0625
okay,0.25
unenergetically,0.375
unredeemed,-0.375
humanist,0.125
hemimetamorphic,-0.25
caryophyllales,0.25
pastness,-0.5
duodenal_ulcer,-0.625
uncommunicative,-0.5
conservatory,0.125
cleat,0.05
backseat_driver,0.25
dope,0.07142857142857142
take_heart,0.125
fair_weather,0.625
seed_grain,0.5
letdown,-0.75
blabber,-0.125
homily,0.5
caveat_emptor,-0.625
tainted,-0.5
eurythmy,0.125
virginal,0.0625
termes,-0.125
hereditarianism,0.125
growl,-0.25
provident,0.25
unthinkingly,0.25
detoxify,0.0625
mortified,-0.5
unmannered,-0.5
draw_in,0.020833333333333332
kingship,0.5
abysmally,-0.75
headline,0.041666666666666664
denominator,0.125
ldl_cholesterol,-0.5
approximation,0.03125
monocytic_leukaemia,-0.5
amour_propre,-0.5
stigmatic,-0.0625
mountain_ash,-0.16666666666666666
toxic_condition,-0.125
bartholomeu_dias,0.375
genuinely,0.3125
struggle,-0.10714285714285714
sharing,0.025
single,-0.1375
long-suffering,-0.6875
tearaway,-0.4375
ultraconservative,-0.3125
slanderer,0.5
funnel,0.03125
cromorne,-0.125
debauched,-0.25
busboy,-0.25
teaching,0.16666666666666666
blackbody,0.375
depraved,-0.875
ungenerous,0.0625
humility,-0.5
genus_anser,-0.125
informative,0.08333333333333333
atopognosia,-0.375
tiger-striped,0.125
conversant,0.5
balding,-0.125
uncrowded,-0.25
lacerate,-0.3125
congenital_pancytopenia,0.25
aortitis,-0.625
ignorance,0.5
natural_shape,-0.125
unperceiving,-0.125
contriteness,-0.25
piss-up,-0.125
bank-depositor_relation,0.125
larghetto,0.125
family_tachinidae,-0.125
cashmere,0.041666666666666664
high-spiritedness,0.375
prate,-0.1875
genus_echinococcus,0.125
bedizen,-0.3125
noisiness,0.125
effluvium,-0.5
workfellow,-0.125
mocking,-0.5
vd,0.125
sportingly,0.125
maintenance,0.1
top-quality,0.75
unchristianly,-0.75
fatuity,0.125
fraudulence,-0.3333333333333333
up_on,0.25
genus_brachychiton,-0.125
lust_after,0.625
get_a_whiff,0.125
uncongenial,-0.15300000000000002
blissfully,0.25
civilized,0.3125
altered,-0.041666666666666664
growth-onset_diabetes,-0.5
mephistophelian,-0.625
aphyllanthaceae,-0.25
sabbatarian,-0.0625
unknowable,-0.125
knockout_punch,-0.625
begrimed,-0.625
intelligible,0.3125
anthonomus_grandis,-0.375
agglomerate,0.0625
organ_stop,0.125
maraschino,0.0625
chemical_element,-0.5
order_cydippidea,0.125
seditious,0.125
gallantly,0.25
verification,0.1875
fondler,0.1875
neonate,-0.125
noetic,0.5
transactinide,-0.125
sexual_morality,0.625
bowels,-0.125
scantness,-0.375
orphrey,-0.25
chivalrously,0.25
visual,-0.1875
monopolise,0.0625
unmixed,-0.75
destructibility,-0.5
anti-semitic,-0.75
cleverness,0.08333333333333333
song_and_dance,0.3125
superordinate,0.40625
inaudibly,0.25
bathetic,0.125
shtik,0.0625
gibbose,-0.375
coquettish,0.25
bare-assed,0.625
lounging_pajama,-0.125
frederick_william_i,0.125
metralgia,-0.625
restless,-0.5416666666666666
asynergy,-0.625
bilaterally,0.25
agatha_christie,0.125
tenuity,-0.16666666666666666
cultural_anthropologist,0.125
distribution_free_statistic,-0.625
porcellionidae,-0.5
chou,-0.08333333333333333
unavailability,-0.375
vin_ordinaire,-0.25
valsartan,0.125
sleek,0.15625
abortifacient,-0.1875
warbler,-0.0625
bruchus,-0.125
unwrinkled,-0.625
blusterous,-0.125
orbitual,-0.125
euphuism,0.0625
solar_trap,-0.125
preclusive,0.125
ugly_duckling,0.375
bareness,-0.125
unairworthy,-0.25
putrefactive,-0.625
self-respecting,0.875
volumetrically,0.125
requirement,0.041666666666666664
obey,0.25
spirochaete,0.375
unpasteurized,-0.625
mesmerised,0.125
speciously,0.25
anguine,0.125
axially,0.375
tetralogy_of_fallot,0.375
clarify,0.125
nephroptosia,-0.125
skilful,0.625
touch_perception,-0.125
popularisation,0.3125
unilluminating,-0.25
unsounded,-0.125
brutalize,-0.5
shoulder_patch,0.125
exactness,0.625
spellbound,0.125
bundle_of_his,-0.25
pythium_debaryanum,-0.625
writhen,-0.375
whited_sepulchre,0.25
chronometer,0.5
rose-lavender,-0.5
categorical,-0.25
ruinous,-0.75
genus_paliurus,-0.125
misdirection,-0.21875
saltish,0.125
sebastodes_miniatus,0.125
upright,0.15
muridae,-0.125
balky,-0.375
contemplation,0.125
cruise_ship,-0.125
ladylikeness,0.5
law,0.03571428571428571
agerasia,0.125
stockbroker_belt,-0.25
fulminant,-0.75
contextually,0.125
genus_notechis,-0.125
peccant,-0.375
dourly,0.125
frustration,-0.20833333333333334
preach,0.0625
combustible,0.25
mountain_blacksnake,-0.125
nonharmonic,-0.25
misquotation,-0.375
ill-timed,-0.75
vagabondage,0.375
unshapely,-0.375
creditable,0.5
infrequency,-0.375
philosophise,0.25
miasmal,-0.375
whiny,-0.75
despising,-0.625
fowl_cholera,-0.5
invariability,-0.5625
entlebucher,0.125
straggling,-0.125
neighbourly,0.625
decayed,-0.25
antidotal,-0.125
jobless,-0.75
ornamentally,0.25
epinephrine,0.125
psi_particle,0.125
psalm,0.08333333333333333
pneumatically,0.125
mentzelia,-0.25
inert,-0.125
incognizance,0.5
mononucleosis,-0.75
confident,-0.125
nanna,0.16666666666666666
bong,-0.0625
gluttony,0.0625
treponema,0.25
esthetician,0.5
cancerous,-0.25
concise,-0.125
medical_examination,0.125
difficult,-0.6875
ivry_la_bataille,-0.375
unrefined,-0.375
grassless,-0.25
intemperance,0.16666666666666666
physiological_psychology,0.375
hinayanist,-0.125
vacuum-clean,-0.125
polychrome,0.16666666666666666
impertinent,-0.16666666666666666
banzai,-0.5
bouldered,-0.125
dishwasher_detergent,-0.375
cronartium_ribicola,-0.375
changing,0.375
composite_number,-0.625
dandyism,0.375
diagonal,-0.07142857142857142
stradivari,0.375
whitey,-0.25
viscounty,0.125
novelty,-0.15625
uncool,-0.875
humblebee,-0.125
assertiveness,0.125
high-flown,0.375
enteric_fever,-0.5
bristle,0.041666666666666664
carefree,0.3125
manageableness,0.625
whipping_boy,-0.375
lantern_jaw,0.125
pavilion,0.125
archbishopric,0.125
cholecystectomy,-0.625
guilty,-0.125
pettifogger,-0.375
clannishness,0.125
common_bean,0.0625
gaudy,-0.08333333333333333
torturous,-0.5
phrenitis,-0.75
delimited,0.125
genus_sarcophaga,-0.125
half,-0.0625
reassuring,0.5
arse_around,0.125
strike_a_chord,0.16666666666666666
desirable,0.5
collar_blight,0.25
incomplete_abortion,-0.5
high_and_low,0.25
butyl,0.125
bigotry,-0.25
off-the-cuff,-0.5
viatical_settlement,-0.125
brainless,-0.125
inclined,0.125
undiagnosed,-0.125
rebuker,0.125
slovenly_woman,-0.75
sliminess,-0.1875
confused,-0.35
bonnily,0.25
autonomous,0.08333333333333333
puzzle,-0.0625
overpayment,0.0625
meritoriousness,0.125
rimeless,-0.5
half-heartedly,0.125
splinterless,-0.25
unreality,-0.3125
formalness,0.25
stably,0.0625
kinanesthesia,-0.5
lead,0.05241935483870968
illegitimate_child,-0.125
stem_canker,-0.125
loaded,-0.075
nimiety,0.125
overgreedy,-0.25
groveller,0.625
opening_night,0.125
snare,-0.017857142857142856
adsorbable,0.25
mutuality,-0.125
human-centred,0.625
mimetic,0.5625
conscionable,0.125
dickey,-0.16666666666666666
venesection,-0.25
strident,-0.25
doublethink,-0.375
hesitancy,-0.25
wanting,-0.625
disquietingly,0.375
hypersensitivity_reaction,-0.25
sexcapade,0.25
look_like,-0.375
scrofula,-0.375
lock,-0.03333333333333333
subtract,-0.125
catharism,0.5
sameness,-0.3125
entomostraca,-0.5
slaphappy,0.125
accessary,0.1875
harold_hart_crane,0.375
fusty,-0.375
block_out,-0.03125
limpid,0.2916666666666667
judas,0.09375
stoic,-0.125
sneak_off,0.125
hysteria,-0.5416666666666666
cone,0.025
unpromised,-0.625
unlikeness,-0.5
ineluctability,-0.625
perverted,-0.041666666666666664
deltoid,0.125
reflectiveness,0.125
spelling,0.125
brittleness,0.125
vincible,-0.125
electronic_dictionary,0.125
sinbad_the_sailor,-0.125
unselected,-0.25
line-shooting,0.125
push,-0.025
xeroma,-0.125
climb-down,-0.125
nontaxable,-0.375
chronic_renal_failure,-0.125
fabricate,-0.125
cabalist,0.125
well-favored,0.625
jamaica_rum,-0.25
altar_boy,0.125
esp,-0.125
passiflora_ligularis,0.25
giant_moa,0.125
concurring,-0.25
paranoiac,-0.375
spinous,0.1875
cockeyed,0.20833333333333334
unthreatening,-0.875
griminess,-0.125
lunacy,-0.0625
hip_boot,0.5
pneumococcus,-0.625
quick_study,0.375
thickset,0.0625
lamella,0.08333333333333333
unattainable,-0.625
in-your-face,0.25
disorderly,-0.2916666666666667
horse_trade,-0.125
addible,0.5
tiled,-0.375
simple_interest,0.125
nonmagnetic,-0.625
ddi,-0.125
whispering,-0.3333333333333333
compulsion,0.08333333333333333
watery-eyed,-0.25
juggle,0.05357142857142857
mazdaism,0.25
pandurate,0.25
imaginative,0.375
fungicidal,0.625
anguish,-0.53125
pint-size,-0.375
involucrate,0.125
constructively,0.25
acute_lymphoblastic_leukemia,-0.25
keep,-0.025
sphacelotheca_reiliana,-0.5
vulgar,-0.1875
stubbornness,-0.3125
prohibition,0.025
helpmeet,0.375
equable,0.125
storeria_occipitamaculata,-0.25
rage,-0.078125
lancinate,-0.375
nullified,-0.25
reprinting,-0.375
starry-eyed,0.625
laissez_faire,-0.125
eau_de_toilette,-0.125
chanterelle,0.125
instilling,0.125
